lng,lat
-0.070189,51.540367
-0.090517,51.557696
-0.055488,51.543542
-0.079398,51.523702
-0.066518,51.558921
-0.059419,51.549452
-0.094259,51.568278
-0.049589,51.553336
-0.090765,51.572448
-0.073172,51.565326
-0.076454,51.542269
-0.022673,51.551986
-0.075744,51.528319
-0.068579,51.551132
-0.028177,51.548122
-0.077852,51.522778
-0.093514,51.565388
-0.034376,51.551553
-0.081257,51.561771
-0.074466,51.558603
-0.099461,51.568092
-0.063759,51.545747
-0.070189,51.540367
-0.043680,51.546493
-0.074587,51.555727
-0.073172,51.565326
-0.055288,51.558376
-0.056845,51.555704
-0.075744,51.552239
-0.066106,51.531218
-0.042814,51.543151
-0.059513,51.564201
-0.071184,51.564574
-0.074622,51.558335
-0.077988,51.522960
-0.072634,51.543915
-0.072534,51.573588
-0.075024,51.552227
-0.076234,51.544064
-0.062018,51.545988
-0.072453,51.537977
-0.069443,51.557980
-0.077303,51.546060
-0.074485,51.558153
-0.046196,51.545006
-0.080500,51.545482
-0.059707,51.549457
-0.090765,51.572448
-0.077385,51.523579
-0.068708,51.548077
-0.076306,51.542356
-0.081630,51.570050
-0.039320,51.543902
-0.068711,51.530991
-0.068488,51.549871
-0.068855,51.530993
-0.084915,51.526221
-0.055528,51.556132
-0.055528,51.556132
-0.075468,51.548547
-0.103770,51.565105
-0.078095,51.527278
-0.077389,51.523490
-0.077064,51.534635
-0.049883,51.543089
-0.055528,51.556132
-0.079512,51.562102
-0.071263,51.572938
-0.041716,51.545201
-0.103174,51.565545
-0.078822,51.523693
-0.062452,51.542578
-0.073753,51.561828
-0.077196,51.531490
-0.077992,51.522870
-0.075475,51.548368
-0.077071,51.534455
-0.077734,51.525564
-0.083633,51.546433
-0.081935,51.525093
-0.079683,51.523797
-0.057026,51.537902
-0.077740,51.549394
-0.048788,51.541722
-0.020827,51.551325
-0.074751,51.555280
-0.072519,51.573948
-0.076572,51.566820
-0.046552,51.556882
-0.063032,51.569655
-0.020562,51.550781
-0.073069,51.567752
-0.064405,51.557718
-0.070036,51.543962
-0.069834,51.558976
-0.073305,51.551929
-0.080404,51.534060
-0.059934,51.564478
-0.075888,51.528321
-0.073191,51.564876
-0.085698,51.552222
-0.048428,51.546752
-0.089891,51.555438
-0.078557,51.523149
-0.082361,51.535531
-0.068897,51.553835
-0.088900,51.527455
-0.077071,51.534455
-0.087240,51.532643
-0.069645,51.553218
-0.070008,51.531012
-0.087682,51.553063
-0.102084,51.563998
-0.054224,51.546129
-0.074493,51.557973
-0.072324,51.530780
-0.043747,51.548292
-0.049278,51.560614
-0.055442,51.544620
-0.084507,51.553102
-0.084064,51.556781
-0.063004,51.560122
-0.058819,51.563560
-0.077068,51.534545
-0.073176,51.565236
-0.051011,51.547064
-0.056926,51.560562
-0.073946,51.560662
-0.036770,51.546198
-0.075471,51.548457
-0.069263,51.572455
-0.103766,51.565195
-0.055676,51.556045
-0.076002,51.546128
-0.079080,51.562095
-0.079189,51.556072
-0.084246,51.555885
-0.083690,51.545085
-0.076598,51.542271
-0.064926,51.569237
-0.031080,51.551048
-0.060309,51.565833
-0.077033,51.535354
-0.057460,51.534492
-0.055992,51.545259
-0.084435,51.554809
-0.056643,51.540144
-0.070630,51.560608
-0.076639,51.534448
-0.102882,51.565630
-0.056040,51.557669
-0.081059,51.521931
-0.060176,51.565561
-0.066518,51.558921
-0.085491,51.526230
-0.059765,51.558270
-0.095895,51.570553
-0.020078,51.488814
-0.061906,51.514692
-0.035233,51.524949
-0.048216,51.521389
-0.060927,51.517373
-0.074538,51.519306
-0.070600,51.513576
-0.066869,51.526824
-0.029298,51.512170
-0.025192,51.527119
-0.026557,51.505559
-0.008156,51.507856
-0.042120,51.522367
-0.065938,51.514758
-0.032173,51.525707
-0.072116,51.515220
-0.030739,51.518849
-0.072632,51.513250
-0.074720,51.525244
-0.013761,51.528095
-0.064945,51.517800
-0.009897,51.517508
-0.049209,51.528510
-0.005874,51.513932
-0.057651,51.509676
0.000708,51.512831
-0.016371,51.517797
-0.032026,51.512396
-0.024128,51.501742
-0.061330,51.514682
-0.073811,51.509223
-0.041968,51.522544
-0.008862,51.518120
-0.066400,51.517464
-0.073955,51.509225
-0.041789,51.533422
-0.055220,51.522764
-0.038700,51.518083
-0.029018,51.511986
-0.007581,51.504519
-0.047979,51.516799
-0.010671,51.506370
-0.019291,51.513620
-0.059889,51.514659
-0.041217,51.533323
-0.039072,51.512784
-0.025805,51.496284
-0.014167,51.495548
-0.044677,51.513147
-0.057472,51.534222
0.000144,51.513111
-0.061730,51.518826
-0.071533,51.515390
-0.011176,51.524544
-0.029801,51.517214
-0.064478,51.522018
-0.021848,51.527782
-0.055949,51.529341
-0.056449,51.520986
-0.009647,51.506712
-0.025918,51.497006
-0.056608,51.530791
-0.046324,51.521807
-0.066515,51.514768
-0.029726,51.535648
-0.030698,51.529819
-0.050251,51.520973
-0.048189,51.528763
-0.067046,51.512439
-0.071836,51.515035
-0.020310,51.520022
-0.061827,51.526741
-0.071646,51.522946
-0.013344,51.511182
-0.048702,51.513394
-0.048702,51.513394
-0.061762,51.514689
-0.009269,51.508774
-0.068058,51.508948
-0.010667,51.523006
-0.021560,51.527777
-0.008624,51.507055
-0.065673,51.517632
-0.009749,51.517595
-0.068451,51.516688
-0.069981,51.528224
-0.068747,51.516513
-0.068275,51.531073
-0.050104,51.521061
-0.027586,51.515109
-0.011651,51.523563
-0.010550,51.522375
-0.064610,51.525707
-0.038380,51.528869
-0.016252,51.507274
-0.021144,51.510774
-0.031886,51.512303
-0.048068,51.521477
-0.063855,51.526504
-0.060399,51.509451
-0.007556,51.511713
-0.075080,51.509873
-0.023156,51.527534
-0.064848,51.526880
-0.022576,51.510978
-0.014704,51.522985
-0.032993,51.533455
-0.050847,51.527278
-0.022253,51.508454
-0.064078,51.511041
-0.023261,51.518453
-0.075861,51.522116
-0.035148,51.526926
-0.057002,51.531697
-0.062261,51.533492
-0.064690,51.523820
-0.063969,51.523808
-0.014551,51.529817
-0.009601,51.517683
-0.030262,51.529902
-0.018340,51.522237
-0.042150,51.511576
-0.055543,51.521960
-0.059970,51.512771
-0.057345,51.516865
-0.072655,51.516128
-0.026970,51.509343
-0.021704,51.527779
-0.009609,51.517503
